⛄️央视频道,#genre#

CCTV-1,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv1HD/__op/default/__f/index.m3u8
CCTV-1,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv1HD/__op/default/__f//index.m3u8
CCTV-1,https://live.v1.mk/api/bestv.php?id=cctv1hd8m/8000000
CCTV-1,http://111.59.63.32:9901/tsfile/live/1008_1.m3u8
CCTV-2,http://218.204.51.252:9901/tsfile/live/1007_1.m3u8
CCTV-2,http://111.59.63.32:9901/tsfile/live/1009_1.m3u8
CCTV-3,http://183.63.15.42:9901/tsfile/live/0003_1.m3u8
CCTV-3,http://218.204.51.252:9901/tsfile/live/1008_1.m3u8
CCTV-3,http://111.59.63.32:9901/tsfile/live/1010_1.m3u8
CCTV-4,http://183.63.15.42:9901/tsfile/live/0004_1.m3u8
CCTV-4,http://218.204.51.252:9901/tsfile/live/1009_1.m3u8
CCTV-5,http://218.204.51.252:9901/tsfile/live/1010_1.m3u8
CCTV-5,http://111.59.63.32:9901/tsfile/live/1012_1.m3u8
CCTV-5,http://183.63.15.42:9901/tsfile/live/0005_1.m3u8
CCTV-5+,http://tvmvip110.club/as.php?id=cctv5p
CCTV-5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV-5+,http://117.169.121.162:6610/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+,http://111.59.189.40:8445/tsfile/live/1018_1.m3u8
CCTV-5+,http://39.135.138.60:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV-6,http://111.59.63.32:9901/tsfile/live/1013_1.m3u8
CCTV-6,http://183.63.15.42:9901/tsfile/live/0006_1.m3u8
CCTV-6,http://218.204.51.252:9901/tsfile/live/1011_1.m3u8
CCTV-7,http://183.63.15.42:9901/tsfile/live/0007_1.m3u8
CCTV-7,http://111.59.63.32:9901/tsfile/live/1014_1.m3u8
CCTV-7,http://218.204.51.252:9901/tsfile/live/1012_1.m3u8
CCTV-8,http://218.204.51.252:9901/tsfile/live/1013_1.m3u8
CCTV-8,http://111.59.63.32:9901/tsfile/live/1015_1.m3u8
CCTV-8,http://183.63.15.42:9901/tsfile/live/0008_1.m3u8
CCTV-9,http://218.204.51.252:9901/tsfile/live/1014_1.m3u8
CCTV-9,http://111.59.63.32:9901/tsfile/live/1016_1.m3u8
CCTV-9,http://112.19.214.90:8883/tsfile/live/0009_1.m3u8
CCTV-9,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225626/index.m3u8
CCTV-10,http://218.204.51.252:9901/tsfile/live/1015_1.m3u8
CCTV-10,http://112.19.214.90:8883/tsfile/live/0010_1.m3u8
CCTV-11,http://218.204.51.252:9901/tsfile/live/1016_1.m3u8
CCTV-11,http://112.19.214.90:8883/tsfile/live/0011_1.m3u8
CCTV-12,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv12HD/__op/default/__f//index.m3u8?
CCTV-12,http://39.135.138.60:18890/PLTV/88888910/224/3221225637/index.m3u8
CCTV-12,http://223.109.53.49/liveplay-kk.rtxapp.com/live/program/live/cctv12hd8m/8000000/mnf.m3u8?
CCTV-12,http://111.59.63.32:9901/tsfile/live/1019_1.m3u8
CCTV-13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-13,http://112.19.214.90:8883/tsfile/live/0013_1.m3u8
CCTV-13,http://jwplay.hebyun.com.cn/live/cctv13/1500k/tzwj_video.m3u8
CCTV-13,http://111.59.63.32:9901/tsfile/live/1020_1.m3u8
CCTV-14,http://111.59.63.32:9901/tsfile/live/1021_1.m3u8
CCTV-14,http://218.204.51.252:9901/tsfile/live/1019_1.m3u8
CCTV-15,http://111.59.63.32:9901/tsfile/live/1022_1.m3u8
CCTV-15,http://218.204.51.252:9901/tsfile/live/1020_1.m3u8
